feature_family,feature_count,xgb_gain_total,xgb_gain_share,mean_abs_shap_total,mean_abs_shap_share,permutation_ap_drop_total
raw_feature,168,20049.28342437744,0.9291738089324761,10.09112548828125,0.9607359972054833,0.0667922392206245
sample_structural_feature,6,374.42512130737305,0.01735254117372423,0.16803860664367676,0.015998288645831697,
prefix_zero_feature,10,637.6116695404053,0.029549787444587944,0.1379266232252121,0.013131446245450347,0.0
unknown,2,178.56118774414062,0.008275327124260153,0.08137766271829605,0.007747644208042636,
missing_indicator,30,337.65686988830566,0.015648535324951477,0.02506798878312111,0.002386623695191976,0.0
prefix_missing_feature,14,0.0,0.0,0.0,0.0,
