model_name,strategy,threshold,precision,recall,f1,f2,average_precision,tn,fp,fn,tp,false_positive_cost,false_negative_cost,total_cost,ensemble_name,ensemble_group,selection_dataset
xgboost_oof_ensemble,max_three_models,0.28,0.40570934256055363,0.938,0.5664251207729468,0.7430291508238276,0.8718317504895439,57626,1374,62,938,10,500,44740,max_three_models,diagnostic,oof_averaged
xgboost_oof_ensemble,max_three_models,0.29,0.40978593272171254,0.938,0.5703861356035269,0.7457465415805374,0.8718317504895439,57649,1351,62,938,10,500,44510,max_three_models,diagnostic,oof_averaged
xgboost_oof_ensemble,max_three_models,0.3,0.4155959237926451,0.938,0.5759901750076758,0.7495604922486815,0.8718317504895439,57681,1319,62,938,10,500,44190,max_three_models,diagnostic,oof_averaged
xgboost_oof_ensemble,max_three_models,0.31,0.42112359550561795,0.937,0.5810852713178295,0.7526104417670683,0.8718317504895439,57712,1288,63,937,10,500,44380,max_three_models,diagnostic,oof_averaged
xgboost_oof_ensemble,max_three_models,0.32,0.426812585499316,0.936,0.5862824929533355,0.7556919102212175,0.8718317504895439,57743,1257,64,936,10,500,44570,max_three_models,diagnostic,oof_averaged
xgboost_oof_ensemble,max_three_models,0.33,0.4315352697095436,0.936,0.5907226254338909,0.758631869022532,0.8718317504895439,57767,1233,64,936,10,500,44330,max_three_models,diagnostic,oof_averaged
xgboost_oof_ensemble,max_three_models,0.34,0.43528864059590316,0.935,0.5940279542566709,0.7604098893949252,0.8718317504895439,57787,1213,65,935,10,500,44630,max_three_models,diagnostic,oof_averaged
xgboost_oof_ensemble,max_three_models,0.35,0.4409820585457979,0.934,0.5991019884541373,0.7633213468453743,0.8718317504895439,57816,1184,66,934,10,500,44840,max_three_models,diagnostic,oof_averaged
xgboost_oof_ensemble,max_three_models,0.36,0.4462494027711419,0.934,0.6039443905593275,0.7664533070736911,0.8718317504895439,57841,1159,66,934,10,500,44590,max_three_models,diagnostic,oof_averaged
xgboost_oof_ensemble,max_three_models,0.37,0.4509898599710285,0.934,0.6082709215239336,0.7692307692307693,0.8718317504895439,57863,1137,66,934,10,500,44370,max_three_models,diagnostic,oof_averaged
xgboost_oof_ensemble,max_three_models,0.38,0.45690499510284033,0.933,0.6134122287968442,0.7720953326713009,0.8718317504895439,57891,1109,67,933,10,500,44590,max_three_models,diagnostic,oof_averaged
xgboost_oof_ensemble,max_three_models,0.39,0.4613478691774034,0.931,0.6169648774022531,0.7735127949484879,0.8718317504895439,57913,1087,69,931,10,500,45370,max_three_models,diagnostic,oof_averaged
xgboost_oof_ensemble,max_three_models,0.4,0.46747352496217853,0.927,0.6215219577606437,0.7746949690790573,0.8718317504895439,57944,1056,73,927,10,500,47060,max_three_models,diagnostic,oof_averaged
xgboost_oof_ensemble,max_three_models,0.41,0.46998982706002035,0.924,0.6230613621038436,0.7743881997988602,0.8718317504895439,57958,1042,76,924,10,500,48420,max_three_models,diagnostic,oof_averaged
xgboost_oof_ensemble,max_three_models,0.42,0.4752832131822863,0.923,0.6274643099932019,0.7766745203635139,0.8718317504895439,57981,1019,77,923,10,500,48690,max_three_models,diagnostic,oof_averaged
