model_name,strategy,threshold,precision,recall,f1,f2,average_precision,tn,fp,fn,tp,false_positive_cost,false_negative_cost,total_cost,dataset,n_features,n_dropped_features
random_forest_balanced,median_all,0.5,0.9367088607594937,0.592,0.7254901960784313,0.6390328151986183,0.88415095492172,15610,15,153,222,10,500,76650,test,170,0
xgboost_scale_pos_weight,median_all,0.5,0.6356877323420075,0.912,0.7491785323110625,0.8390578999018645,0.9113008390145022,15429,196,33,342,10,500,18460,test,170,0
random_forest_balanced,drop_high_missing_median,0.5,0.9383259911894273,0.568,0.707641196013289,0.61667631731326,0.8830359480239052,15611,14,162,213,10,500,81140,test,168,2
xgboost_scale_pos_weight,drop_high_missing_median,0.5,0.6277372262773723,0.9173333333333333,0.7453954496208017,0.83984375,0.9090983398566537,15421,204,31,344,10,500,17540,test,168,2
random_forest_balanced,median_with_indicator,0.5,0.9484978540772532,0.5893333333333334,0.7269736842105263,0.6376226197345644,0.8909594704781139,15613,12,154,221,10,500,77120,test,339,0
