model_name,strategy,threshold,precision,recall,f1,f2,average_precision,tn,fp,fn,tp,false_positive_cost,false_negative_cost,total_cost,ensemble_name,ensemble_group,selection_dataset,threshold_selection_rule,constraint_satisfied
xgboost_oof_ensemble,rank_average_three,0.94,0.27288087862573923,0.969,0.4258404746209624,0.6416368692888359,0.8728311912312564,56418,2582,31,969,10,500,41320,rank_average_three,auxiliary,oof_averaged,recall_floor_965,True
xgboost_oof_ensemble,mean_structural_prefixzero,0.09,0.2989786443825441,0.966,0.4566296383833609,0.6679574056147144,0.8731745060539639,56735,2265,34,966,10,500,39650,mean_structural_prefixzero,diagnostic,oof_averaged,recall_floor_965,True
xgboost_oof_ensemble,max_three_models,0.11,0.29207021791767557,0.965,0.44842007434944237,0.6605969331872946,0.8718317504895439,56661,2339,35,965,10,500,40890,max_three_models,diagnostic,oof_averaged,recall_floor_965,True
xgboost_oof_ensemble,weighted_70_20_10,0.1,0.3105889925973608,0.965,0.46992938884830776,0.6789081187561559,0.8725621778602894,56858,2142,35,965,10,500,38920,weighted_70_20_10,main,oof_averaged,recall_floor_965,True
xgboost_oof_ensemble,weighted_60_25_15,0.1,0.31018964963034396,0.965,0.4694721478958891,0.6785262269722965,0.8726573131718885,56854,2146,35,965,10,500,38960,weighted_60_25_15,main,oof_averaged,recall_floor_965,True
xgboost_oof_ensemble,structural_all_single,0.09,0.30131004366812225,0.966,0.4593437945791726,0.6702747710241466,0.8710981135618879,56760,2240,34,966,10,500,39400,structural_all_single,main,oof_averaged,recall_floor_965,True
xgboost_oof_ensemble,weighted_70_30_indicator,0.09,0.2984843798329725,0.965,0.45594141270966215,0.6670814323240702,0.8720547214510629,56732,2268,35,965,10,500,40180,weighted_70_30_indicator,main,oof_averaged,recall_floor_965,True
xgboost_oof_ensemble,weighted_80_20_indicator,0.08,0.2883984491500149,0.967,0.4442912933609005,0.6575547395620835,0.8718351930275412,56614,2386,33,967,10,500,40360,weighted_80_20_indicator,main,oof_averaged,recall_floor_965,True
xgboost_oof_ensemble,weighted_rank_60_25_15,0.94,0.2734705384832253,0.97,0.42665493732131077,0.6426394593878362,0.8726981217510582,56423,2577,30,970,10,500,40770,weighted_rank_60_25_15,main,oof_averaged,recall_floor_965,True
xgboost_oof_ensemble,mean_structural_indicator,0.06,0.26085790884718496,0.973,0.41141649048625795,0.6293661060802069,0.8718427428003347,56243,2757,27,973,10,500,41070,mean_structural_indicator,auxiliary,oof_averaged,recall_floor_970,True
xgboost_oof_ensemble,mean_three_models,0.06,0.26068261220102124,0.97,0.4109298877356492,0.6281569744851703,0.872758521474803,56249,2751,30,970,10,500,42510,mean_three_models,auxiliary,oof_averaged,recall_floor_970,True
xgboost_oof_ensemble,weighted_80_20_prefixzero,0.05,0.24719959266802444,0.971,0.3940746753246753,0.6123864783047427,0.8723916817137485,56043,2957,29,971,10,500,44070,weighted_80_20_prefixzero,auxiliary,oof_averaged,recall_floor_970,True
xgboost_oof_ensemble,rank_average_three,0.93,0.2348685796961659,0.974,0.37847289683310664,0.5977660488523383,0.8728311912312564,55827,3173,26,974,10,500,44730,rank_average_three,auxiliary,oof_averaged,recall_floor_970,True
xgboost_oof_ensemble,max_three_models,0.07,0.25161623997931215,0.973,0.3998356276967331,0.6184059997457735,0.8718317504895439,56106,2894,27,973,10,500,42440,max_three_models,diagnostic,oof_averaged,recall_floor_970,True
xgboost_oof_ensemble,mean_structural_prefixzero,0.05,0.245636225651404,0.971,0.39208560468402986,0.6104614610838677,0.8731745060539639,56018,2982,29,971,10,500,44320,mean_structural_prefixzero,diagnostic,oof_averaged,recall_floor_970,True
xgboost_oof_ensemble,weighted_rank_60_25_15,0.94,0.2734705384832253,0.97,0.42665493732131077,0.6426394593878362,0.8726981217510582,56423,2577,30,970,10,500,40770,weighted_rank_60_25_15,main,oof_averaged,recall_floor_970,True
xgboost_oof_ensemble,weighted_80_20_indicator,0.06,0.2626453881525561,0.971,0.41345539706195444,0.6307652332077432,0.8718351930275412,56274,2726,29,971,10,500,41760,weighted_80_20_indicator,main,oof_averaged,recall_floor_970,True
xgboost_oof_ensemble,weighted_70_20_10,0.06,0.2622330359556637,0.97,0.4128537986805703,0.6299519418106247,0.8725621778602894,56271,2729,30,970,10,500,42290,weighted_70_20_10,main,oof_averaged,recall_floor_970,True
xgboost_oof_ensemble,weighted_60_25_15,0.06,0.261596548004315,0.97,0.41206457094307564,0.6292163985469642,0.8726573131718885,56262,2738,30,970,10,500,42380,weighted_60_25_15,main,oof_averaged,recall_floor_970,True
xgboost_oof_ensemble,weighted_70_30_indicator,0.06,0.261596548004315,0.97,0.41206457094307564,0.6292163985469642,0.8720547214510629,56262,2738,30,970,10,500,42380,weighted_70_30_indicator,main,oof_averaged,recall_floor_970,True
xgboost_oof_ensemble,structural_all_single,0.05,0.24802245470783363,0.972,0.3952022768855458,0.6137138527591868,0.8710981135618879,56053,2947,28,972,10,500,43470,structural_all_single,main,oof_averaged,recall_floor_970,True
