model_name,strategy,threshold,precision,recall,f1,f2,average_precision,tn,fp,fn,tp,false_positive_cost,false_negative_cost,total_cost,candidate_strategy,selection_dataset
xgboost_oof,baseline_median_all,0.3,0.44824265767934524,0.931,0.6051348716282093,0.7660029619878229,0.8690765583868693,57854,1146,69,931,10,500,45960,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.31,0.4531707317073171,0.929,0.6091803278688525,0.7677685950413223,0.8690765583868693,57879,1121,71,929,10,500,46710,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.32,0.4570582428430405,0.926,0.6120290812954395,0.76833720544308,0.8690765583868693,57900,1100,74,926,10,500,48000,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.33,0.464859437751004,0.926,0.6189839572192514,0.7726969292389854,0.8690765583868693,57934,1066,74,926,10,500,47660,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.34,0.4714867617107943,0.926,0.6248313090418354,0.7763246143527833,0.8690765583868693,57962,1038,74,926,10,500,47380,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.35,0.47533401849948614,0.925,0.6279701289884589,0.7778338378742011,0.8690765583868693,57979,1021,75,925,10,500,47710,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.36,0.47923156801661476,0.923,0.6308954203691046,0.778771515356058,0.8690765583868693,57997,1003,77,923,10,500,48530,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.37,0.48655772272008435,0.923,0.6372109078356921,0.7826013227064609,0.8690765583868693,58026,974,77,923,10,500,48240,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.38,0.49148029818956335,0.923,0.6414176511466296,0.7851309969377339,0.8690765583868693,58045,955,77,923,10,500,48050,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.39,0.4949061662198391,0.923,0.6443280977312391,0.7868712702472294,0.8690765583868693,58058,942,77,923,10,500,47920,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.4,0.5013594344752583,0.922,0.649524480450863,0.7895187532111663,0.8690765583868693,58083,917,78,922,10,500,48170,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.41,0.50633608815427,0.919,0.6529307282415631,0.7901977644024075,0.8690765583868693,58104,896,81,919,10,500,49460,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.42,0.5117056856187291,0.918,0.6571224051539012,0.792198826372109,0.8690765583868693,58124,876,82,918,10,500,49760,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.43,0.5166197183098592,0.917,0.6609009009009009,0.793939393939394,0.8690765583868693,58142,858,83,917,10,500,50080,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.44,0.5231032515687393,0.917,0.666182346531057,0.7969754910481488,0.8690765583868693,58164,836,83,917,10,500,49860,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.45,0.5282583621683967,0.916,0.6700804681784931,0.7987443320544123,0.8690765583868693,58182,818,84,916,10,500,50180,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.46,0.536613942589338,0.916,0.6767639453269302,0.8025232171018049,0.8690765583868693,58209,791,84,916,10,500,49910,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.47,0.540508574807806,0.914,0.6793013749535489,0.8030223159374451,0.8690765583868693,58223,777,86,914,10,500,50770,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.48,0.5444776119402985,0.912,0.6818691588785046,0.8035242290748899,0.8690765583868693,58237,763,88,912,10,500,51630,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.49,0.551452784503632,0.911,0.6870286576168929,0.8059094125973106,0.8690765583868693,58259,741,89,911,10,500,51910,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.5,0.5559633027522936,0.909,0.6899430740037951,0.8065661047027507,0.8690765583868693,58274,726,91,909,10,500,52760,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.51,0.5618811881188119,0.908,0.6941896024464832,0.8084045584045584,0.8690765583868693,58292,708,92,908,10,500,53080,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.52,0.5665209244222361,0.907,0.6974240676662822,0.8096768434208177,0.8690765583868693,58306,694,93,907,10,500,53440,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.53,0.5741444866920152,0.906,0.7028704422032583,0.8121190390821083,0.8690765583868693,58328,672,94,906,10,500,53720,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.54,0.5785760102629891,0.902,0.7049628761234857,0.8112969958625652,0.8690765583868693,58343,657,98,902,10,500,55570,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.55,0.582687338501292,0.902,0.7080062794348508,0.8129055515501081,0.8690765583868693,58354,646,98,902,10,500,55460,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.56,0.5888524590163935,0.898,0.7112871287128713,0.8126696832579186,0.8690765583868693,58373,627,102,898,10,500,57270,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.57,0.5954907161803713,0.898,0.7161084529505582,0.8151779230210603,0.8690765583868693,58390,610,102,898,10,500,57100,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.58,0.5998659517426274,0.895,0.7182985553772071,0.8148215586307356,0.8690765583868693,58403,597,105,895,10,500,58470,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.59,0.6055668703326544,0.892,0.7213910230489284,0.8149095560021926,0.8690765583868693,58419,581,108,892,10,500,59810,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.6,0.610041265474553,0.887,0.7229013854930725,0.8131646497983132,0.8690765583868693,58433,567,113,887,10,500,62170,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.61,0.6133056133056133,0.885,0.7245190339746214,0.8129707881682895,0.8690765583868693,58442,558,115,885,10,500,63080,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.62,0.6172148355493352,0.882,0.7262247838616714,0.8123042917664395,0.8690765583868693,58453,547,118,882,10,500,64470,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.63,0.6192821956368755,0.88,0.7269723254853366,0.8116583656152001,0.8690765583868693,58459,541,120,880,10,500,65410,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.64,0.6224272533711852,0.877,0.7281029472810294,0.8106858938805694,0.8690765583868693,58468,532,123,877,10,500,66820,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.65,0.6297627606038821,0.876,0.7327478042659975,0.8124652198107958,0.8690765583868693,58485,515,124,876,10,500,67150,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.66,0.6346433770014556,0.872,0.7346251053074979,0.8113137327874953,0.8690765583868693,58498,502,128,872,10,500,69020,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.67,0.6416482707873437,0.872,0.7392963119966087,0.8135846239970144,0.8690765583868693,58513,487,128,872,10,500,68870,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.68,0.6514584891548242,0.871,0.7454000855798032,0.8160014989694585,0.8690765583868693,58534,466,129,871,10,500,69160,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.69,0.6575550493545937,0.866,0.7475183426845058,0.8143690050780515,0.8690765583868693,58549,451,134,866,10,500,71510,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.7,0.6636015325670498,0.866,0.751409978308026,0.8162111215834119,0.8690765583868693,58561,439,134,866,10,500,71390,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.71,0.6687258687258687,0.866,0.7546840958605664,0.817752596789424,0.8690765583868693,58571,429,134,866,10,500,71290,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.72,0.670817120622568,0.862,0.7544857768052516,0.815515610217597,0.8690765583868693,58577,423,138,862,10,500,73230,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.73,0.678006329113924,0.857,0.7570671378091873,0.8140197568389058,0.8690765583868693,58593,407,143,857,10,500,75570,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.74,0.6802232854864434,0.853,0.7568766637089619,0.8117624666920441,0.8690765583868693,58599,401,147,853,10,500,77510,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.75,0.6856913183279743,0.853,0.7602495543672014,0.8133104500381388,0.8690765583868693,58609,391,147,853,10,500,77410,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.76,0.6927465362673186,0.85,0.7633587786259542,0.81308590013392,0.8690765583868693,58623,377,150,850,10,500,78770,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.77,0.6990931574608409,0.848,0.7663804789877994,0.8133512372913869,0.8690765583868693,58635,365,152,848,10,500,79650,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.78,0.7059314954051796,0.845,0.7692307692307693,0.8129690205888013,0.8690765583868693,58648,352,155,845,10,500,81020,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.79,0.7123519458544839,0.842,0.7717690192483959,0.8124276341181011,0.8690765583868693,58660,340,158,842,10,500,82400,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.8,0.7185886402753873,0.835,0.7724329324699353,0.8087950406819062,0.8690765583868693,58673,327,165,835,10,500,85770,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.81,0.735216240070609,0.833,0.7810595405532115,0.8114163257354373,0.8690765583868693,58700,300,167,833,10,500,86500,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.82,0.7408400357462019,0.829,0.7824445493157149,0.8097284625903497,0.8690765583868693,58710,290,171,829,10,500,88400,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.83,0.7518181818181818,0.827,0.7876190476190477,0.8107843137254902,0.8690765583868693,58727,273,173,827,10,500,89230,baseline_median_all,oof_averaged
xgboost_oof,baseline_median_all,0.84,0.7608897126969416,0.821,0.7898027898027898,0.8082299665288443,0.8690765583868693,58742,258,179,821,10,500,92080,baseline_median_all,oof_averaged
