model_name,strategy,best_threshold,precision,recall,f1,f2,fp,fn,total_cost,average_precision
xgboost_scale_pos_weight,median_all,0.2,0.46923076923076923,0.976,0.6337662337662338,0.8026315789473685,414,9,8640,0.9113008390145022
random_forest_balanced,median_all,0.03,0.39358288770053473,0.9813333333333333,0.5618320610687023,0.75564681724846,567,7,9170,0.88415095492172
random_forest_balanced,drop_high_missing_median,0.02,0.3403669724770642,0.9893333333333333,0.5064846416382253,0.7162162162162162,719,4,9190,0.8830359480239052
xgboost_scale_pos_weight,drop_high_missing_median,0.08,0.35825242718446604,0.984,0.5252669039145907,0.7292490118577075,661,6,9610,0.9090983398566537
random_forest_balanced,median_with_indicator,0.03,0.39125799573560766,0.9786666666666667,0.559025133282559,0.7526661197703035,571,8,9710,0.8909594704781139
logistic_regression_balanced,drop_high_missing_median,0.3,0.39578713968957874,0.952,0.5591229444009397,0.7431307243963364,545,18,14450,0.7993586922480513
logistic_regression_balanced,median_all,0.25,0.3638211382113821,0.9546666666666667,0.5268579838116262,0.7206119162640902,626,17,14760,0.7981958109207741
dummy_prior,drop_high_missing_median,0.01,0.0234375,1.0,0.04580152671755725,0.10714285714285714,15625,0,156250,0.0234375
dummy_prior,median_all,0.01,0.0234375,1.0,0.04580152671755725,0.10714285714285714,15625,0,156250,0.0234375
