model_name,strategy,threshold,precision,recall,f1,f2,average_precision,tn,fp,fn,tp,false_positive_cost,false_negative_cost,total_cost
dummy_prior,drop_high_missing_median,0.47,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.48,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.49,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.5,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.51,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.52,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.53,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.54,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.55,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.56,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.57,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.58,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.59,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.6,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.61,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.62,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.63,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.64,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.65,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.66,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.67,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.68,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.69,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.7,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.71,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.72,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.73,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.74,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.75,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.76,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.77,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.78,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.79,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.8,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.81,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.82,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.83,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.84,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.85,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
dummy_prior,drop_high_missing_median,0.86,0.0,0.0,0.0,0.0,0.0234375,15625,0,375,0,10,500,187500
