candidate_strategy,broad_trials,refine_trials,top_trials_used_for_refinement,broad_best_trial_id,broad_best_total_cost,broad_best_fn,refined_best_trial_id,refined_best_total_cost,refined_best_fn,best_stage,best_trial_id,best_total_cost,refined_cost_delta_vs_broad
baseline_median_all,20,8,10,baseline_median_all_broad_016,5370,7,baseline_median_all_refined_002,5330,5,refined,baseline_median_all_refined_002,5330,-40
median_all_structural_all,20,8,10,median_all_structural_all_broad_009,4960,5,median_all_structural_all_refined_001,5770,4,broad,median_all_structural_all_broad_009,4960,810
drop_high_missing_median,20,8,10,drop_high_missing_median_broad_007,5100,4,drop_high_missing_median_refined_001,5310,4,broad,drop_high_missing_median_broad_007,5100,210
