model_name,strategy,threshold,precision,recall,f1,f2,average_precision,tn,fp,fn,tp,false_positive_cost,false_negative_cost,total_cost,base_candidate_strategy,selection_dataset
xgboost_oof_base,median_all_prefix_zero_rate,0.3,0.45365853658536587,0.93,0.6098360655737705,0.768595041322314,0.8713012577250833,57880,1120,70,930,10,500,46200,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.31,0.4587654320987654,0.929,0.6142148760330578,0.7709543568464731,0.8713012577250833,57904,1096,71,929,10,500,46460,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.32,0.4651977966950426,0.929,0.6199532866199533,0.774553943638486,0.8713012577250833,57932,1068,71,929,10,500,46180,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.33,0.47106598984771575,0.928,0.6249158249158249,0.7772194304857621,0.8713012577250833,57958,1042,72,928,10,500,46420,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.34,0.47835051546391755,0.928,0.6312925170068027,0.7811447811447811,0.8713012577250833,57988,1012,72,928,10,500,46120,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.35,0.48532494758909855,0.926,0.6368638239339752,0.7836831415030467,0.8713012577250833,58018,982,74,926,10,500,46820,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.36,0.49307774227902024,0.926,0.6435024322446143,0.787682885335148,0.8713012577250833,58048,952,74,926,10,500,46520,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.37,0.5002701242571583,0.926,0.6495966327604349,0.7913177234660742,0.8713012577250833,58075,925,74,926,10,500,46250,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.38,0.5065717415115005,0.925,0.6546355272469923,0.7938551321661518,0.8713012577250833,58099,901,75,925,10,500,46510,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.39,0.5105204872646734,0.922,0.6571632216678546,0.7940062004822598,0.8713012577250833,58116,884,78,922,10,500,47840,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.4,0.5163104611923509,0.918,0.6609071274298056,0.794392523364486,0.8713012577250833,58140,860,82,918,10,500,49600,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.41,0.51875,0.913,0.6615942028985508,0.7925347222222222,0.8713012577250833,58153,847,87,913,10,500,51970,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.42,0.5223112128146453,0.913,0.6644832605531296,0.7941892832289492,0.8713012577250833,58165,835,87,913,10,500,51850,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.43,0.5265588914549654,0.912,0.6676427525622255,0.7955338450802513,0.8713012577250833,58180,820,88,912,10,500,52200,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.44,0.5287289611143354,0.911,0.6691149467499082,0.7959112353660668,0.8713012577250833,58188,812,89,911,10,500,52620,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.45,0.5349383440986495,0.911,0.6740658527561968,0.7987024373136945,0.8713012577250833,58208,792,89,911,10,500,52420,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.46,0.5429594272076372,0.91,0.680119581464873,0.8016208597603947,0.8713012577250833,58234,766,90,910,10,500,52660,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.47,0.5469314079422383,0.909,0.6829451540195342,0.8027198869657365,0.8713012577250833,58247,753,91,909,10,500,53030,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.48,0.5519125683060109,0.909,0.6868152625613902,0.8048521338763945,0.8713012577250833,58262,738,91,909,10,500,52880,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.49,0.5575384615384615,0.906,0.6902857142857143,0.8053333333333333,0.8713012577250833,58281,719,94,906,10,500,54190,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.5,0.5628891656288917,0.904,0.693783576362241,0.8062789867998573,0.8713012577250833,58298,702,96,904,10,500,55020,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.51,0.5699873896595208,0.904,0.6991492652745553,0.8091657715717866,0.8713012577250833,58318,682,96,904,10,500,54820,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.52,0.5736975857687421,0.903,0.7016317016317016,0.810010764262648,0.8713012577250833,58329,671,97,903,10,500,55210,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.53,0.5788461538461539,0.903,0.70546875,0.8120503597122302,0.8713012577250833,58343,657,97,903,10,500,55070,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.54,0.5851755526657998,0.9,0.7092198581560284,0.8125677139761647,0.8713012577250833,58362,638,100,900,10,500,56380,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.55,0.5910585141354372,0.899,0.7132090440301467,0.8141641007063938,0.8713012577250833,58378,622,101,899,10,500,56720,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.56,0.5966666666666667,0.895,0.716,0.8136363636363636,0.8713012577250833,58395,605,105,895,10,500,58550,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.57,0.602832097100472,0.894,0.7200966572694322,0.8152471274849535,0.8713012577250833,58411,589,106,894,10,500,58890,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.58,0.6070700203942896,0.893,0.7227842978551194,0.8161213672089198,0.8713012577250833,58422,578,107,893,10,500,59280,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.59,0.6092896174863388,0.892,0.724025974025974,0.8162518301610542,0.8713012577250833,58428,572,108,892,10,500,59720,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.6,0.6136363636363636,0.891,0.7267536704730831,0.8171313279530448,0.8713012577250833,58439,561,109,891,10,500,60110,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.61,0.6197771587743732,0.89,0.7307060755336617,0.818616629874908,0.8713012577250833,58454,546,110,890,10,500,60460,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.62,0.6264975334742776,0.889,0.7350144687887556,0.8202620409669681,0.8713012577250833,58470,530,111,889,10,500,60800,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.63,0.6313167259786477,0.887,0.7376299376299377,0.820536540240518,0.8713012577250833,58482,518,113,887,10,500,61680,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.64,0.6359712230215827,0.884,0.7397489539748954,0.8200371057513914,0.8713012577250833,58494,506,116,884,10,500,63060,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.65,0.6386676321506155,0.882,0.740865182696346,0.8195502694666419,0.8713012577250833,58501,499,118,882,10,500,63990,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.66,0.6437454279444038,0.88,0.7435572454583862,0.8198248555990311,0.8713012577250833,58513,487,120,880,10,500,64870,median_all_prefix_zero_rate,oof_averaged
xgboost_oof_base,median_all_prefix_zero_rate,0.67,0.649814126394052,0.874,0.7454157782515991,0.8175865294667914,0.8713012577250833,58529,471,126,874,10,500,67710,median_all_prefix_zero_rate,oof_averaged
